"","unit.class","x","y","neurons","sigma1","sigma2","sigma3","sigma4","sigma5"
"235",43,1,7,90,0.0197590793882461,0.0211142380648619,0.0197616236975102,0.0209288238807088,0.0185290644407508
"236",4,4,1,5,0.0531998395937124,0.0434881090767266,0.053198374469366,0.0479837878119997,0.0531953905781114
"237",4,4,1,10,0.0531995846578625,0.042900096573819,0.0419033442568175,0.0532008856931882,0.0531980094927965
"238",4,4,1,30,0.0422521928170144,0.0400844041643923,0.0421971172829158,0.0426957741037383,0.0443134200714814
"239",4,4,1,50,0.0422954223314075,0.0421428635153338,0.0397056600732269,0.0411435787998741,0.0433961448593063
"240",4,4,1,70,0.0418811517156576,0.0438190018742978,0.0423345109236086,0.0452045026543322,0.0449811103695845
"241",4,4,1,90,0.0418763250132356,0.0415662933051588,0.0426542913753607,0.0444424487910042,0.0412126352503399
"242",20,6,3,5,0.0831751702259085,0.0595153525290023,0.0513979865001193,0.0566914372371923,0.0513263402540609
"243",20,6,3,10,0.0505701305269731,0.0603716045297732,0.0602843543391816,0.0535261983756251,0.0486826250669909
"244",20,6,3,30,0.058761406534281,0.0473407759428928,0.0462391479577142,0.0429952657119811,0.0387722802160633
"245",20,6,3,50,0.0475794896978006,0.0457618444891452,0.0504367910528721,0.0477624220992925,0.0478867572731492
"246",20,6,3,70,0.0469441833774811,0.0430477436214085,0.0467439531002164,0.0483848198330434,0.0431316908452326
"247",20,6,3,90,0.0440682102311585,0.0496368869744182,0.0443954641625084,0.0432013435224684,0.0470521191706251
"248",48,6,7,5,0.0136570232957507,0.013496989395253,0.0124635571875185,0.0147271486418615,0.0147270690966716
"249",48,6,7,10,0.0113549740436695,0.0115378503086288,0.0116983312034798,0.0118562666199511,0.0122417217806573
